id,text,label,source_dataset,text_hash,split
fiqa_train_691,AstraZeneca Explores Potential Deal With Acerta for Cancer Drug,positive,fiqa,bc57790a3365ed29da35de684abd6bba132621e0e1758c03b16dae45daf10908,train
fiqa_train_500,$BBRY bye bye Sammy. Hello BB. Sounds like we'll see some green tomorrow.,positive,fiqa,b3321c1c1043084109d42a2c499795dc08fe31c602eeb0db17ca9f497933312f,train
fiqa_test_119,"Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?",neutral,fiqa,ccbb00c3cd84b8ab3ecbf736cc4ef804eea71770f0f2c14b69fc267f7136d56e,train
fiqa_train_52,Amazon to attack UK grocery market with Morrisons deal,positive,fiqa,4f966f1e4dd52a61c1c9a47ef2eeed3c37afe1334335c95b28b6209d6f460fed,train
fiqa_train_228,Analyst Views: Astrazeneca shares have seen recent volatility; what will 2015 ...,negative,fiqa,a7e9589c24516bdbec3d3d8ad054d33ab832ccf0acd5e87a2d702334c8c3e509,train
fiqa_train_403,AB InBev attacks SABMiller bid rebuffal,negative,fiqa,73aabf4ca760000497909d4fc86a9397ac8b3907da441aa4f4ff6e4c32767410,train
fiqa_test_32,$BBRY Ready for Take OFF!,positive,fiqa,a879dfb9550aa32db994e5bf5eb54e789fe7e15ef9f1783f941dca7f3f332889,train
fiqa_train_23,what #stocks large players are selling http://stks.co/t0Vel $CROX $GOGO $INO,negative,fiqa,2093983a418462447f58697455d1ecb448abe0f3dd53f26d535502a49dfebb0b,train
fiqa_train_769,$KITD Looking for a oversold bounce.,positive,fiqa,3a0feaa94d0f2a16c0a483a93bf634b0d31e32d95dc076ae2f9e1719f9fb33cd,train
fiqa_train_800,ITV to pursue takeover of Canada's Entertainment One: Bloomberg,positive,fiqa,9d1807e4d042ebc7d4b8eb7caa55a280f71dd582dead5b8f54fd2ba7ce080b3b,train
fiqa_train_54,RT @robbieLOLZ $NFLX A close above here is looking good for the bulls. Will hold my positions to see where we close at. Keep buying here.,positive,fiqa,9381510749bccee7fa4c002e75eaa1091b78e6e1f30feac50ab2d984b3f748ba,train
fiqa_test_80,CompaniesHoward Davies appointment as RBS director delayed,neutral,fiqa,27380901ff43b1f82603e7f1300b127f26b109d5396f71c6faca5407a5dcd23b,train
fiqa_train_429,Why Alphabet Inc was just upgraded to buy https://t.co/dEVnLKhqtZ $GOOGL,positive,fiqa,d5a84976f7091670603982ee931b582992f49692cf4d5e7e5ba25aeff3ea5c5c,train
fiqa_train_297,$TSLA gyrating @ S1 above gap. keeping an eye on S2 http://stks.co/jQfB,positive,fiqa,89cff4f5e49f043608ea487326b28fa205e9b2e11f664800cf981d3aac27db39,train
fiqa_train_107,Shire Sees Baxalta Deal Closing as Expected After New Rules,positive,fiqa,f68af48cc830402d6a980dd2135bdaa919ab13ab12d456529a9912a49981caa2,train
fiqa_train_398,"$HLF shorts made a killing last couple days, might make more if cover and buy back?",negative,fiqa,ba7b2525ccf63b4c2e5e1df20144d21463bcee911583c9ea3ac6bff319c81077,train
fiqa_train_718,CompaniesDixons Carphone to close 134 UK stores as sales jump,positive,fiqa,035cff9ed1280523e522b0e1ade01c8d0a491d5b90e61f20d781c0c06ae076cc,train
fiqa_train_716,$HITK  Resuming advance into new historical highs.,positive,fiqa,8280b28d073ec19b2fe7c26eff0dda40b73d80f7af21a0f9634a0f58b74b439d,train
fiqa_train_692,CompaniesHome Retail trims gains but is considered 'in play',positive,fiqa,d67632e994a9b0b9e7e056259fbed09cabc016bced9981fb05979ffc087c9547,train
fiqa_train_529,"Also, BMO had just initiated $incy with an outperform yesterday, while several other firms all reiterated buy ratings.",positive,fiqa,c6a07ac5edc5935c90b7f354285f1eaa860c5bb2243e0600b51c22919219eca5,train
fiqa_test_50,@mugatushair Now it is time to short $TSLA,negative,fiqa,b8cea308a59de2401f3d4ed484177a68bdc69ac29ef5814f5a44e32685b51e8d,train
fiqa_train_234,Barclays sells benchmark indices unit to Bloomberg,positive,fiqa,2d9d0861bdc160e87a000bab7a23ddc471086f76df405535b12c78b98d6fe7f0,train
fiqa_train_349,$TSPT  long 8.00,positive,fiqa,b2bdf634257040193a96fee746f91ab1f16fc22c754785dba7e4ce0a7bdfa48f,train
fiqa_train_567,$SAVE breaking it's downtrend line on increasing volume. A move above 20.57 could see more upside. http://stks.co/l8y4,positive,fiqa,03458eb566c498b07f235264e38e7cf973856da1e98a69d5d3d6beadec9a5d42,train
fiqa_test_67,$PRLB hanging tough in down market due to analyst upgrades last week. Up almost 3%.,positive,fiqa,f1a93bfeaf9dbd018b0dbe37a2de8dc246c0d061f98a38b0a72117fcee256d4a,train
fiqa_train_449,bot $AMZN 600 weekly calls here @ 5.93,positive,fiqa,e228d26dba982c83060fd21aa66b4825cb307b59af9a2f144750853d974b99ff,train
fiqa_train_635,$TRX http://stks.co/1KkK Long setup. MACD cross.,positive,fiqa,9bdd5fcf93786f6bc821898de62fb03cf34502d1b9cc47950a55ee0838e81846,train
fiqa_train_497,$NFLX and $TSLA making all kinds of gains ð,positive,fiqa,46ed7b1ffb670b0fe52609ea21d6c482bcbb46eda1414b9f22b370ce6e495b88,train
fiqa_train_754,Irish housebuilder Cairn Homes plans London listing,positive,fiqa,853829dec85c38b60310a88f6b44550218d218932c0de57f3ffad24b790769d7,train
fiqa_train_113,"RECAP: $MSFT rumor this morning had them spinning off XBOX unit, stock grinds up all day to close on highs",positive,fiqa,3510cadf68634fdc226542174711b0638ad492f3e859f21ec28dc46e9b0d19d6,train
fiqa_train_906,$AAPL Dips being bought up real quick. Higher lows fo sho,positive,fiqa,15840d1659cae9507034aa251e09a4bbbaaac3524b25cdcece684b66addb7ee9,train
fiqa_train_344,Compass Group says positive for year ahead,positive,fiqa,ce5369f3fb3bd0d8f9833d237bc4fc4e2d2491048c7680cf31b860ab640d40c0,train
fiqa_train_233,$GALE Breakout Coming Soon!,positive,fiqa,9cd849306a71114cc3d73a26ff0709deb26ec76a816181b1a22f7c2269c52d1b,train
fiqa_train_910,AB InBev ups offer for SABMiller as deadline looms,positive,fiqa,c7e620bbd105b368114f002e1173252c5a75b35e8cf16b07d2aa6cafd6e3134f,train
fiqa_train_80,$INVE : SEE YA ABOVE $8,positive,fiqa,64829c436f4708213cadb85cd80a311aa650c765c7295bc430e318af6835f40f,train
fiqa_train_696,$DARA breaking out,positive,fiqa,befab947f9c54dabb3e62cf48fd8500ba305707d35fa5241aa25907f124aa4b3,train
fiqa_train_30,"$SLV -4.44% at 18 now AWFUL, down from 42.50",negative,fiqa,ea2b0114b9b6c6a8aaf1841a3e1c824eb7597f32f3ea37f8b6478be5eff51421,train
fiqa_train_184,ConAgra Names Former Hillshire Farms CEO Connolly to Top Post,positive,fiqa,7fd91e0795b332b81380c844c6398f0364448e45724527c6cad8207f21525a3b,train
fiqa_train_48,$SPY weak close,negative,fiqa,b59ab24135e060299eb591d73dffec648650dd780259776593c1c0c81f6512fc,train
fiqa_train_436,$WYNN big bounce,positive,fiqa,d2cebc1e405e08f23cafd898d5bd8160fe12cad116ba469f7d17a03270cf28bf,train
fiqa_train_340,Hargreaves Lansdown share price falls as costs mount - although pensions ...,negative,fiqa,e44cd255468dc14f328aaea827ac5a54dfd62556acfd7dd1a0bbdbcc05b18db0,train
fiqa_train_174,"$GLD http://stks.co/jr8 Daily chart - though RSI and Stoch. point at a possible move up, there's a lot of resistance.",positive,fiqa,0c8a63a1c219742e469ca746b80038ed26a8bd6ec36100cc68dd4f2abf7ef5c3,train
fiqa_test_63,$V A potential bearish shark pattern if point B $226 to be taken out. http://stks.co/i0GGH,negative,fiqa,3784fb083e1338a6d6b651ca6ba1563fdbf31d1be03fbb6d90e07cee31d4eaf6,train
fiqa_train_794,$PKT Momentum building for breakout trigger ! Long setup http://stks.co/eXVU,positive,fiqa,7eca728ed964d24321f782e0f88e7f5fc6eca83d9595059b8b77c3e8fa852ae7,train
fiqa_train_464,$DNKN $KKD $DPZ $LOCO Inside week buy triggers. http://stks.co/h0vV8  http://stks.co/r0ebN,positive,fiqa,6be7e94b08bf6110aad28eb5d35587cdbf67f8a15aa388fdd0d7cb2f72c7d890,train
fiqa_train_393,RT @ACInvestorBlog $AAPL still on track for $500,positive,fiqa,eec85f2be073aa1fd468b17ffc38d1ee6de4c70a399b887249dde4b7bc6bb855,train
fiqa_train_306,Shire proposes $30 bln all-share tie-up with Baxalta,positive,fiqa,f9b612725dc695842c1266c00e96e48cb508213f18bfa842b5046312c89fa6b7,train
fiqa_train_612,$IACI http://stks.co/tJU Looks good on the weekly chart.,positive,fiqa,eb238e37ccf08cb19e18614dc235b6791798b4dfa2470cb2c71e49ebdf45b20c,train
fiqa_test_70,Coke dividend - 3%. Google dividend - 0%. For passive income Coke takes it. $GOOG $KO https://t.co/QBsoWjxOST,neutral,fiqa,d6f6e5f3237723eaa5b90467218cde74ff4722cb1cc64ad66c50ecd4564139fb,train
fiqa_train_667,Tesco shareholders back ITV head for chairman,positive,fiqa,b1fc6b7c2eea317121aea9e786beb7e4d7b444a456f8b9675b4047130400764c,train
fiqa_train_16,Stakes High for AstraZeneca Heart Drug Facing Tough Competition,negative,fiqa,b7195edc361fd5bae5f826a2a0dce6d020a8560c814b3fdc7c0a16304e2550b2,train
fiqa_test_111,I am not optimistic about $amzn both fundementals and charts look like poopoo this quarter.,negative,fiqa,a51db67b332f148058954e2ebe2984701bcb580447fbe753a15624a5f5f324d1,train
fiqa_train_135,Entering long Lockheed Martin $LMT at Thursday's open. http://stks.co/eXtA,positive,fiqa,0cadc9c86332c085e43ac534992555f146dc2e96d525374a521368fab006157e,train
fiqa_train_818,"PRESS: Serco Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT",positive,fiqa,405f946dea56f2e20b8b9aa13e67068917db889571d118ce3a8b9567774acf2e,train
fiqa_train_617,$SBUX getting sold here.,negative,fiqa,afa9dfccb320e77866021f56a983281ba9595d9aaa23e24cfbd2af43fa5fcafd,train
fiqa_train_131,"Google, Inc. completes acquisition of ICOA, Inc. http://stks.co/nFEI $ICOA $GOOG",positive,fiqa,913c43b15465b94558b4f29c1cc7c9a82287be5387fffc2b7fe7914c45e33c86,train
fiqa_train_38,.@barronsonline sees #Apple at $150/share in a year (+36% from today) on growing services business. $AAPL https://t.co/3BDNEKN7l1,positive,fiqa,387386836e46a8ca1b1e87df526b59ef6d6357b0d8cf81511705c282df9ac369,train
fiqa_train_526,$EBAY had a nice breakout of the recent consolidation. Congrats to those who had it. http://stks.co/2TAd,positive,fiqa,08fbf4e81f438763ada08152d3a69bd10638958267f4fc50f082b43eba216d0e,train
fiqa_train_359,"$KGC http://stks.co/3Qta Oversold, falling wedge and positive divergence place it on the launch pad; looking for a bounce.",positive,fiqa,298f8443bd6e22ff7e69af44c20d4ecd45f6f1053b537bce23c9036b58bc60b0,train
fiqa_train_155,UPDATE 1-Pearson expects to grow this year after solid end to 2014,positive,fiqa,8d56dff15abc0729bf0d472d7eb1e036daa6cc5ef966e8ed58c9b8921dd213e4,train
fiqa_train_701,EasyJet attracts more passengers in June but still lags Ryanair,positive,fiqa,b3cd548cf298989480d5e487c8ef9841108d802bf168c4d68deb482efc7de73b,train
fiqa_train_828,"$WAC trade continuing very nicely from yesterday, almost up $3 from yesterday entry, deal pricing tonight looking very strong here... $SPY",positive,fiqa,c749b99ab5a697d2bae19e6729d5c12c38e72f211970ae1fe22748265ce8a427,train
fiqa_train_650,"Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger",positive,fiqa,cc3a8b628321c75bd93cf1e4e9c1183421b8d07f90acd030bf9dd657665e80a0,train
fiqa_train_130,This $BBBY stock options trade would have more than doubled your money https://t.co/Oa0loiRIJL via @TheStreet,positive,fiqa,137f28a132521250bcaa2804d64ff2b6ec2dae343d901b89a7633cf8fa9f9871,train
fiqa_train_49,Bilfinger Industrial Services win ÃÂ£100m BP contract extension,positive,fiqa,4031172ae16e393fed635a38a4cd97e7f94b49b1359a3d2c7d38c721d0d9a913,train
fiqa_train_582,"FTSE 100 falls as China devaluation hits Burberry, mining stocks",negative,fiqa,33177a3e02ffa50993528489e3039ad805db4318d2569f0825d06e32f8977946,train
fiqa_train_551,"FTSE led lower by M&S, GlaxoSmithKline",negative,fiqa,218ddb2b857d2b0b0ec393f49c66250572c4acb2dc4089c41225c89aecb87097,train
fiqa_train_469,$TSLA upgraded to Buy @ Argus w/ $333 PT - you'd almost think after ~100pt run in 5 weeks this would be the sell signal,positive,fiqa,85b056864161ae7a9b2d6f9b199d99645784226f8288a6a2de6be2ecd801fee1,train
fiqa_train_112,"OCBC to Buy Barclay's Wealth Management Unit in Singapore, Hong Kong",positive,fiqa,2137488d217c683b9cb4573424479c3008163f2b037489173186db63b533b0c0,train
fiqa_train_761,"$ATVI ooks pretty bullish for now. from a short-term perspective, it's got a good chance of maybe sliding back to 33.70 #stocks #investing",positive,fiqa,03c5b401f1b0abd8c8158490a13c476faac5942b51518df0d12a15f965686933,train
fiqa_test_115,US sanctions put Gazprom-Shell alliance plans in jeopardy,negative,fiqa,f50a404d20f86354d5169ca1c6662757af801a3e788deff51ff4d9e25d16b8f9,train
fiqa_train_279,LSE-Deutsche BÃÂ¶rse dealmakers wrong to ignore Brexit risk,negative,fiqa,0c150233d613266a21741e635e36f59f9344f3f8457b787459d9858074a29f66,train
fiqa_train_591,ITV share price jumps on report of Comcast's NBCUniversal bidding to takeover ...,positive,fiqa,9e711016274174adb052c25c3b28b01e387cf103cd4387831d5affc975112bfb,train
fiqa_train_353,ALERT: New MACD signal created on $CTXS - Buy at 77.09 - Time: 18:23 - Strength: 10. Powered by https://t.co/4TdgjEDLLZ,positive,fiqa,9dde2dff581137c935f136a5ce4f1710c446f89f06bd391c8a63ae409f2786cf,train
fiqa_train_730,New Morrisons duo get former boss's support to diffuse investor tension,positive,fiqa,ee4f970e1e3da5cd9af5c6523b72b6277cb594d3cb1ed96230e10347e961868f,train
fiqa_train_938,$GRPN might be selling off ahead of $P earnings...,negative,fiqa,f8cad52ac668b61adcc0b7558c23f3f10971307dc54bda79a960b28c19d1abee,train
fiqa_train_821,$AAPL  downgrade is bias. This stock is a buy.,positive,fiqa,d99529d47efd9cd9f703f0d86a2351856a361cbc39018f7b935af9548e0ac579,train
fiqa_train_857,InterContinental Hotels first-quarter global room revenue lags estimates,negative,fiqa,7d7f42e92fe6d707e6c83bf4b7af12255edff15cd14a931a859e623791d19915,train
fiqa_train_743,Shire says internal synergy goals from Baxalta deal higher,positive,fiqa,a50c54f3ee75ae638cbc55d5b9873cc3ae8d807ddb5374b2ffd618dda6b61e71,train
fiqa_train_477,"Are ARM Holdings plc, Domino's Pizza Group plc and ASOS plc 3 must-have growth stocks?",neutral,fiqa,b354cb45da1becc9aa286396ac61175d4b4f670a8bba45469b772d065ab50c42,train
fiqa_train_177,Juniper tumbles on Q1 warning; Cisco also lower $JNPR $CSCO https://t.co/bGvIntk43h,negative,fiqa,329a301f24c97102e7b8bccc4839d0517d94b4be0102b2761a1ca27bd4ec9a3f,train
fiqa_train_717,"AstraZeneca bags another cancer drug deal, this time with Inovio",positive,fiqa,0b768dfc0409d7c13b0b3c6027f6db23c5550824a0f01bfdedf8bdcbe325afd6,train
fiqa_train_239,Merged LSE and Deutsche BÃÂ¶rse would be led by Germany's Kengeter,positive,fiqa,8e02c15ef5c3b1e0ed762d123f76422e02e914401a5842b7c2ae746d91df9766,train
fiqa_test_26,$DISH weakness continues again. 49.43 area resistance after last week,negative,fiqa,4ec90ce75f7634d2b48a8dad3978a93a5a6021770ddef461a76e638d5edebf2e,train
fiqa_train_872,$aapl short term fund/redemption liquidations.. Should have the channel cleared soon and on solid footing. $520 is new floor come July! :),negative,fiqa,de3ba0eb4621057321e61b307ac121ca032db796b670acd33a5c5cb08c8e2585,train
fiqa_train_383,Windows 10 is awful why did it force an upgrade on my pc without my consent? #windows #Microsoft $msft,negative,fiqa,6f6b23f3642850bfe14e017ade57363fad38b8a2c2429736dcfb1c7946edf38e,train
fiqa_train_711,$UTSI http://stks.co/15uR Long setup. Reported very good earnings.,positive,fiqa,7fe820a1569241b1ac060b125867a272d9a5932f75a43dc8d172feeaca13492f,train
fiqa_train_238,$ENB.CA {Head&Shoulders} bullish reversal setup and breakout. Oil and Gas Pipleline stock. $USO,positive,fiqa,b36f2574b6326cf261d25ac2799d1de5ed9d369002abaf675fb68b91ab8e485d,train
fiqa_train_318,"Whitbread Profit Up As Sales Continue To Rise, Looking For New CEO",positive,fiqa,c6ab2399381f51ff3c5a115e78776db5e0d970c3a3ee29b9e36fb2afa8240077,train
fiqa_train_647,$AAPL nibbling on a small long via 525.. buying off 13min charts..,positive,fiqa,7e5aca79705412ba1166b37bbba7e3c2575c54d63a59588de390b36717153a87,train
fiqa_test_71,$DMND green and moving,positive,fiqa,f8aac515b94157d72ffa5726037cce87291a97893daa6e085cbd5444adfabdfe,train
fiqa_test_141,FDA Approves AstraZeneca's Iressa As Lung Cancer Treatment,positive,fiqa,c4bcca153c7b65706ee406181ddacf07554bcb3126d08a306079aad5e2050be4,train
fiqa_train_935,"Tesla: Voluntary recall of 2,700 Model X vehicles, due to back seat issue. $TSLA https://t.co/NPAkc3U6GS",negative,fiqa,f66d062d0aff09b5e8353332c66805341c65677d06210666a3983f87cc94374e,train
fiqa_train_510,"$FB trending nicely, intraday.",positive,fiqa,72d72064f1f254bb396e22b39ba3c6af1dbacc7c3c5d4f2dacc50626397ba190,train
fiqa_train_216,Glencore sees Tripoli-based NOC as sole legal seller of Libyan oil,neutral,fiqa,3449aec83d889952de184c97fcca5edc3502bd38c94616d26feb4799f9f3037f,train
fiqa_train_181,$AVGO great growth stk &  also raised dividend . clearly a great investment http://stks.co/r2F3h,positive,fiqa,1a0b743dc7ead6b6a3e818c236b9de9887a261558e78ce76f529f1653a29a76b,train
fiqa_train_645,"@louiebeene vwap is 1.63, held the trend line. Should be on a LOT of radars. $NAVB",positive,fiqa,a2be99b44525652b15917f859be6bcc937765fc1f9e5338986cb4e1e885f7bde,train
fiqa_train_594,"$AAPL Taking out the shorts here, a punishing reminder not to spear the  strongest in the herd.",positive,fiqa,900fb0325037c461f27af60899816eb6cf2420dd2e700c46a1b365bc9e9fc9b5,train
fiqa_train_774,Juniper tumbles on Q1 warning; Cisco also lower https://t.co/N8X8BpLJ1E $JNPR $CSCO,negative,fiqa,64efbdda1dba1d539faa1f6bf7ab8e97e29f5d0e56678a5653575006b29782de,train
fiqa_test_118,$BABA may take a few days wks months watch what happened to $FB $TWTR after they IPO. mrkt needs to washout. to hunt well need 2 wait stalk.,neutral,fiqa,1c8eedb85c3f6d50138469eb50c94620c5c696ed4b82239874e16659ffd5866e,train
fiqa_train_880,Novartis buys remaining rights to GSK treatment in deal up to $1 billion,positive,fiqa,5d4644623041ca9b93a8f9fa0df83e8b01efc042f6990d654f2dc986152737aa,train
fiqa_train_846,Can Christmas Save Sainsbury's plc And Tesco plc?,negative,fiqa,9e783d7dc2a8561990f51f817d2c55009eb77cc50837697b3366cc757cb06b4d,train
fiqa_train_908,"$KNDI Break that HOD on volume, and we have a nice consolidation completed for another run.",positive,fiqa,f8cea6f5d488f41a16e2af5ddd0e0a0d182f2e1e82738ff41b78b0aba361c92f,train
fiqa_train_795,$AAPL Good time to buy. Will the run come before earnings or after?,positive,fiqa,95dedb79ab4d5392769d307e009654ba52bd16e71e3850ad7f9d362480a09907,train
fiqa_train_203,$GOOGL is setting up above its 50-day moving average. https://t.co/tTm9RnFoXJ,positive,fiqa,0c3d5f4a781f150a89290902b3b21c5bc9ef2593a964f94277b46742fa312772,train
fiqa_train_305,$NFLX +1% $104.80 LONG streaming services rapidly outpacing traditional cable,positive,fiqa,f1dc1c0549a4317f3bfb4795e0fe71ef57a834ddd4528e9cf75cf552ee03396e,train
fiqa_train_636,"UPDATE 1-AstraZeneca buys ZS Pharma for $2.7 billion, pips Actelion",positive,fiqa,29ba7e6bf822068b36732b8288131bbadf343ac008994bda8e8fef092ee51774,train
fiqa_test_120,The Boeing Company (NYSE:BA) Bearish Trader bets $550K that Stock Will Sell Off 9.79% by July Expiry $BA http://stks.co/tCSE,negative,fiqa,2016a4abac3a30f0cf4f236c53686fbf53af0e9f4d5c929e71b44ef05346e055,train
fiqa_test_147,Barclays appoints JPMorgan's Paul Compton as new COO,neutral,fiqa,39f32793ea244eaad31994542c8e90a1c40e04ac759c1dce4a87ec2a495b5329,train
fiqa_train_652,"Key price to watch in $NFLX, off the previous double top reject, 218.23 http://stks.co/sIYn",negative,fiqa,3143e5d815a28cdc871afc8802df0b5d3f1d15b710df11f98246ef0604bd7f9c,train
fiqa_train_208,$MPWR CEO sells 450k april 15th..meh,negative,fiqa,13ded819246be818d2a05016fbc3613078497c59a3c7fdc9f52b8c6fff7517ac,train
fiqa_train_744,"$CELG back near 104, where it opened and rallied higher last wk. A good place to take a shot https://t.co/zwHThSvFSF",positive,fiqa,947c4a8f80bf964004d93fa0e73879f3f367ace4985c49fd634b4b2e5d02c6d2,train
fiqa_train_338,$AAPL Goldman Sachs reiterates conviction buy on Apple with a $155 PT $SPY $DJIA $GS https://t.co/h5hmXSITwM,positive,fiqa,b4753719b4a9e5fda46dc0ff1db19c4c1ccbffd6af0de668670d4ec0fb7ee595,train
fiqa_train_943,Why I'd Buy ARM Holdings plc And BHP Billiton plc Today,positive,fiqa,0bb319cee148cad59652e6b78cda1f6a1615292a7d5b604a5afbb73f5d8df5c1,train
fiqa_train_954,"$SLW is down, but weekly $34 calls (-28.95%), .23 x .25 have 321 volume. Worth a chance here, jmho: http://stks.co/1Qfg",positive,fiqa,2298a320afd9b6183582cce5afd36053b50cc5a70e7282c224106bf812b108cc,train
fiqa_train_683,Builder Persimmon hails 6% rise in house sales,positive,fiqa,3f29ffda8b7668264d7b21f149d3317beee10c421f1a8d8c1bfcc9bddedcd241,train
fiqa_train_145,$aapl news is becoming very bullish again http://stks.co/tMU,positive,fiqa,aa51647140126dae117078ca3a2a571baea6f8b060eefa1a131d2bb2e9e5c626,train
fiqa_train_723,"Philip Morris, BAT Sue Over Law Taking Branding Off Packs",negative,fiqa,633f585cd6c253feb8fd75423cf7fd7b3609ce4c088371c146f17dddb69b9952,train
fiqa_train_188,Eli Lilly & Co. (LLY) Has Broken Out To A New High On AstraZeneca Collaboration,positive,fiqa,04fb06ade020a14f9ce011d304947bddae25efcc79cbe3d3f19e12ede1fd3f72,train
fiqa_train_425,"UPDATE 3-BP settles oil spill-related claims with Halliburton, Transocean",negative,fiqa,1f0eda067d8929d7a6862f63397613d3c318f5af779094b0a2da0ce5a4fda9dc,train
fiqa_train_455,$FB turns back down in early trading.... https://t.co/reuf5PzhBm,negative,fiqa,92c88e2ef1012f414ea173b7c064ff5fd82c210436b5af8a9335631242292e4b,train
fiqa_train_5,Johnson Matthey raises prospect of investor payout,positive,fiqa,1562d87004ab8f467e24d976726a5d361349cf85b9313207666b32ac87c6c099,train
fiqa_train_446,Short more $FAZ for all who don't know that means markets will tank now :-p,negative,fiqa,3277c51cf2ca0b634a17572cafee801f820aecdd8297c424b11d69fbedf05b13,train
fiqa_train_731,RBS chairman admits surprise at size of regulatory penalties,negative,fiqa,3ee044d46f1663a42162c633638344fae4a1f669282aab93f969ad11bf0a4fdb,train
fiqa_train_905,"$ENDP exit reversal .11 X 3K shares = $330 - now Long - not getting follow through, either side of price action",positive,fiqa,3ff03c7819f1429d85176f77c87de0c92137d1a0651e1bf8d2ff3eb490425029,train
fiqa_train_811,"News FeedFTSE 100 movers: Ashtead jumps on strong interims; Glencore, BP in ...",positive,fiqa,5047d4fc0c4187fb79749129562d1891c4710281a09f8c2401ac81619c366206,train
fiqa_train_380,"@CGrantWSJ I think this $TSLA bubble might go on for some time. So long as ppl love the cars, they might keep getting funding.",positive,fiqa,60b15ca8f01b0a6b0c2942f686dac52bae7c6cbb3b32b0aee4b002933a981a30,train
fiqa_train_804,$VOLC THIS STOCK HAS A VERY VERY VERY VERY VERY HIGH PROBABILITY OF RALLYING TOMORROW AND/OR EARLY NEXT WEEK,positive,fiqa,ff441e9a082a76d12bc6b18f6b627d6904ce453b8febeb8178494d58f14a9d11,train
fiqa_train_686,Whitbread buys 49% stake in Pure food chain,positive,fiqa,0a6afa695a5cf8b24825ba3669e517a5d8c49dbe77772314b60e511f593802aa,train
fiqa_test_123,$tsla X recall not a big deal... the problem is now they will have an excuse to guide way way lower...,neutral,fiqa,46c499d85ce61e4d890402f63db5e08cc57dda86ac6dc9253ca6ee2b8518eb3a,train
