text_hash,n,n_unique_labels,labels,sources,sample_text
3449aec83d889952de184c97fcca5edc3502bd38c94616d26feb4799f9f3037f,5,1,neutral,fiqa,Glencore sees Tripoli-based NOC as sole legal seller of Libyan oil
3610748349f8507095f7bfa01a6bd844cd84c17f808b715847450255f6f16e5b,2,1,positive,fiqa,Meggitt share price tumbles as profit falls in 'challenging year'
3a4aa912ca5c31a1eebb792954ac70a509c1bf8f38e4cfa4829213f69699e218,2,1,negative,fiqa,"UPDATE: EasyJet Passenger Numbers, Aer Lingus Traffic Up In February"
3af20326f8fb9f1dc2c99eea3076e8bec71075c5b8e0cc3635ab7c09f0f08d74,2,1,negative,fiqa,$PLUG Closed short position. Small gain. Not interested in options expiring worthless
3fa27602a2765921e0187b57a28d72b39d21cc4de5b0264d827f78e1615015ca,3,1,neutral,fiqa,"$HAL If bulls lucky enuff to get an upside gap fill, better take it. Wouldn't chase it here. http://stks.co/r12Us"
405f946dea56f2e20b8b9aa13e67068917db889571d118ce3a8b9567774acf2e,2,1,negative,fiqa,"PRESS: Serco Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT"
41863969bd4f5022b77b9e8e194e294e39f878bdfba55b2e4fa43dc5e7ad1c74,3,1,neutral,fiqa,$AMZN Trailing 12 months operating cash flow rose 48% to $4.98 billion & free cash flow decreased 63% to $388 million http://stks.co/c06zG
41ce7cdb4020e81dc8d93a3e86b3d6f252256711d818a0c0bd8291d84a973670,2,1,neutral,fiqa,Aviva shuts Friends Life head office in rapid integration move
4263e519a3cb02b15bc7dda55247ad35e2c96ee27287a169d4c74cfdf7f7d0af,2,1,positive,fiqa,Buffett's Company Reports 37 Percent Drop in 2Q Earnings
450f123c6935420d66bdf7c196c52b872bb716fc5f8a8b966f2b97c5e0eae541,2,1,neutral,fiqa,"Goldman Sachs, Barclays, HSBC downplay Brexit threat"
4e5b5e178a0792dad3c66d5df9fced80537f88d31eff2e48277d87102a0b5d0f,2,1,positive,fiqa,"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ..."
5a2409c48ec4c4d59acb8ad0bada03a3b829327c5c57fa3d56526f5214e9ad77,2,1,positive,fiqa,AstraZeneca diabetes drug combination faces delay after FDA rebuff
5bcce57796fe66943acf45e9cc529b39ecfcfaf70b29e405db8b0daef7e4898e,2,1,positive,fiqa,"Ingenious, HSBC, UBS and Coutts sued by 'tax avoidance' clients"
5c587f05b866b2fbbcb0f58e78266b1a82e568ed5d9c8dc56c2bdfcb9b65cf20,2,1,negative,fiqa,"UK housing market steadies after Brexit dip, Persimmon says"
5ce49a76ee76e649064e90f0b9cb6c7ff4401cf7123e7484ff0caf35bb5b347d,2,1,negative,fiqa,"$CNP Sell Short Position on CNP,...Closed for Profit $ 59,367.00 (7.75%) http://stks.co/ghjc"
5d4644623041ca9b93a8f9fa0df83e8b01efc042f6990d654f2dc986152737aa,2,1,negative,fiqa,Novartis buys remaining rights to GSK treatment in deal up to $1 billion
5d8e1a2ced5cb04f40da84287983692baf5091722dcd0a981d0cd5182ada3fcb,2,1,negative,fiqa,$BAC $ADSK $NFLX long this morning
5fb8d646c5a05b2a101b5c4e440b0aaeb809009dbb770ab1068b3bf85a6d0d6b,2,1,positive,fiqa,AstraZeneca suffers setback after drug fails to treat eye cancer
5fd8359168a4c23c7a910e359028848a34ed27858c676c4b42cea2f2e9903b6d,2,1,negative,fiqa,Exact (EXAS) Flagged As Strong On High Volume $EXAS http://stks.co/r26Ra
6213ea691ff26f056827641c6a9a2990cfc1d5bede0e0739182a744695b87d1b,2,1,negative,fiqa,"$ADBE technical alerts: Expansion Breakout, Gilligan's Island Sell Setup, Volume Surge, and New 52... https://t.co/LxX66tknFH"
62639617b0911c10cc1200df1753531ed1046f96fd58bc964a9cfa38b79ebb40,3,1,neutral,fiqa,$NVDA sideways
64b4e14b80f44497f3fda69b69eac9763f3c26326fb62a086e70ee0016a4076e,2,1,positive,fiqa,UPDATE 1-Lloyds to cut 945 jobs as part of 3-year restructuring plan
6a4d67e95527c36f51ef325b974d5dcb9b074d327f7eb481778ab9aa79981a85,2,1,neutral,fiqa,Tesco sells half of stake in ecommerce site Lazada to Alibaba for ÃÂ£90m
6a6fabbb7a938fb7243e898b738d9ede651b1df58cd36a2a4044585592f39638,2,1,positive,fiqa,$AAPL wants lower. up waves getting smaller on the 2 min
6afd069842d0b6af10e80421aa64bd359ca0091f03a56eb686b7b19123b2a3b8,2,1,negative,fiqa,"2nd raise this year.  ""@BVHealthcare: $QCOR Questcor Increases Quarterly Cash Dividend 20 Percent.. http://stks.co/goan"""
6c3c0ba4fef6403696057d3d457e4e362dd644fc2f53047953017b3b75dc2003,2,1,positive,fiqa,Royal Mail share price edges lower as group raises stamp price
6f6b23f3642850bfe14e017ade57363fad38b8a2c2429736dcfb1c7946edf38e,2,1,positive,fiqa,Windows 10 is awful why did it force an upgrade on my pc without my consent? #windows #Microsoft $msft
733b26e3bf178058d2d7375b59bfa9842d222b0346d25f881ccfdb6c79bc5f62,2,1,negative,fiqa,"Last month we added to our $GILD position and started a new one in $BWLD We see slow, steady, unspectacular growth going forward near term"
73c8d3f427caf577f93a3c299f54c8023a8939a220b234dd24972c2e41b11008,2,1,negative,fiqa,Sainsbury sells unit to LloydsPharmacy
7d7f42e92fe6d707e6c83bf4b7af12255edff15cd14a931a859e623791d19915,3,1,positive,fiqa,InterContinental Hotels first-quarter global room revenue lags estimates
868d13a4cdd506d71805058dcccb866424dadfd99aba881a41499b4015d8736f,2,1,negative,fiqa,longed $AMZN 300 @ 189.82
872a42b483681322f790733fa74392f61456306a5c557629fa18134f41ccaff5,3,1,neutral,fiqa,Germanwings disaster will not affect image of budget air travel - easyJet
8839414c75668c99afe90e2c1db1cf3c0d10dcee4f27702d7d7396ba0b55a9ce,2,1,neutral,fiqa,$AAPL 620 resistance area
88e5b1219a83298831773443e658064d2a9a9aeb710514520a9eef9aa954294a,2,1,positive,fiqa,Investors Remain Skeptical About Shell-BG Deal
9b9337618d3af28976df2f7864528224bdde7db2b854658e2eabab90d19a4ec5,2,1,negative,fiqa,"Apple expected to launch new iPhone, iPad today $AAPL https://t.co/XfnICWeBeG"
9cd849306a71114cc3d73a26ff0709deb26ec76a816181b1a22f7c2269c52d1b,2,1,negative,fiqa,$GALE Breakout Coming Soon!
a049e643fff3cee45edfddf44e19645cf0b115ffd36873dbb3fb3e08019685d7,2,1,negative,fiqa,Teva: FDA Approves Generic Version of AstraZeneca Heartburn Drug
a21a9aa3b68b9cab4b5e05682952f2b09716a6cd0aa5347019c9d4a88f219aa4,2,1,positive,fiqa,"$ESI on lows, down $1.50 to $2.50 BK a real possibility"
a2dcaf64d1cb84fa30880c3e97e01ef8d6ce193e1e61d4350e5bda7e11be628d,2,1,negative,fiqa,Morrisons and Debenhams surprise City with Christmas bounce back
a420486d3110ed0719eb347515ee3ad21575b447fe22f0f2320a606e0c5fd372,2,1,negative,fiqa,$FB watching for bounce tomorrow
a8e7016bb25af7bde8d56912349910120247c5639ad91a0363ed2a249bee5395,2,1,positive,fiqa,SABMiller revenue hit by weaker EM currencies
aadd603195039ce60d56586522accfe5062f3cae9842863e196f30a8103563ca,3,1,positive,fiqa,Short interest increases yet again http://stks.co/e19h via @ryandetrick $SPY
abb0992445bf5500df0dc5292dbaaccd88bf6233c9dfa10266f896c91e8fc58d,2,1,positive,fiqa,Hard to find new buyers of $TSLA at 250.  Shorts continue to pile in.
aeb7e93b2c524be3b3236cf934d11276c510c15f9ab8048e13c9ee9f92bc44b3,2,1,neutral,fiqa,InterContinental Hotels Denies Reports of Starwood Merger Talks
af26a766a0ae12bb35229e9877464eebd703d3727df1601263db4e70439f9f79,2,1,positive,fiqa,#NDX component Tesla has announced it is recalling 2700 Model X SUVs. $TSLA
b1faf319166d2b6f315db716c074b0921178d9fd30217b31c001129369527a3a,2,1,negative,fiqa,GSK joins China trade push as UK trumpets healthcare deals
b2eee9a102eceeb189445c4925f57b9b46e2719d261359c89dfef56c7e034876,2,1,negative,fiqa,Johnson Matthey revs up on clean air drive
b5448cbf2a79490339fc40460f1bd9027eca96a774baa3bf7e7f06f1e8417cf3,2,1,negative,fiqa,#Tesla Model S deliveries are up 35% in Germany - record deliveries in March [Chart] https://t.co/yCnClcBImV  $TSLA
b851c6d25a0dfdc1a700b961ce5379acddde6b98613a4dfac83535ad38fe5eec,2,1,positive,fiqa,"$NFLX small pos, short 180 wkly puts."
b8f1721605b975985c4bc0a4e3569dd571a3ce382f0d9617ce181b7391bae228,2,1,negative,fiqa,New recommendation from Carl Kirst of BMO Capital Markets for $WMB is BUY.Price target is $62:http://stks.co/t0S0r
be8174eb1cc653185341825fa0fcb62db397fdf0a22c7056871e1cff45a7972d,2,1,positive,fiqa,CompaniesMeggitt profits hit by weak energy and military markets
bf4e305b8988762968f8aae2e52a972d99ac4b5796b898f6e655f03556ca7a8f,2,1,negative,fiqa,Severn Trent share price jumps as Canadian investor renews pursuit of utility
bf68b1f92f4f8c566201001e829b08377f24582954b98ad50dbb3d70be8e31cc,2,1,positive,fiqa,Breaking: Tesla recalls all Model X cars  .. details on show now $TSLA
c30a48f43c9d14e7bf41a8f2f81f5ff8b45c6b263446116b4a67b244ff384bc1,2,1,negative,fiqa,$PYPL great vol flow trade here.. Love this company long time.
c56993798865589b5efd532330206cbb365a6482e5c4979ced5c0f2847902384,2,1,neutral,fiqa,UPDATE 1-Meggitt reiterates annual outlook after tough 2014
cd0da21993d30b18c644025964cb6102b6805d9e724b212d9def64ec42c4758e,2,1,neutral,fiqa,"Despite sales growth, UK's Tesco cautions recovery to be bumpy"
d17db4876769effd21d38260909e8d508eefc970e0c7a83e38905effdbc266a6,2,1,neutral,fiqa,Royal Mail gets mixed bag from Ofcom postal regulation report
d1eadbb0ca7c3fa83c21a6ef137ffb6cf408a5462652b344eda0dbd86a4dac6d,2,1,negative,fiqa,"Britain's FTSE steadies, supported by Dixons Carphone"
d2cebc1e405e08f23cafd898d5bd8160fe12cad116ba469f7d17a03270cf28bf,2,1,negative,fiqa,$WYNN big bounce
d706c9f313e7848a740c40b778cfb17ef1388b9dde5a825e43aec5d31781b482,3,1,neutral,fiqa,Randgold profit hit by poor gold price but dividend still increases
d75a5ee88d0463fc3f16b913b51d5594bb7a48aecea4f5745f5e7493572e153f,2,1,positive,fiqa,$SPY Could the pride of social media be gettin ready to fall?  $FB - chart rolling over?
ea0c1ffe862d82223f330abd590e9c9715cbdfd9fbddf542795b2ca9ecb25e56,3,1,positive,fiqa,"You know that back seat? Don't sit in it. - $TSLA -> Tesla recalls 2,700 Model X cars https://t.co/7J0Gwz89ZC"
f37cecb1e865bb08bedcfca6070f82463203cacc87259cdf073490fdfeccf85e,3,1,neutral,fiqa,Berkshire Hathaway names Kara Raiguel to lead General Re unit
f38807b79ee0b8dc4fde559f28e330e03c383ddd94ca8f4e6779bbbbe02383af,2,1,positive,fiqa,"$ZSL looking very weak, could be a good short setup."
f4ff88f3fc8ba398d7dbd69aabf82d6d4729cccb6e4442e8787ba71c2e2401b2,2,1,positive,fiqa,"BHP Billiton slashes dividend, posts $5.67 billion net loss"
f834194463bfff445c3484b20bd08cf3318834d92ed4208f2e58636d68c47cb9,2,1,negative,fiqa,"I'm liking the price action in $SWKS, currently @21.80 ; my target: 24.00+ before year end."
f922c8f6d830ad5ae40b52624680bf4ad47a92fdaaf1c2f914fbfb6a4b99f7d3,2,1,positive,fiqa,#Tesla: Model X Recall Adds To Reliability Issues $TSLA https://t.co/jVXQ4DoXnP
fc2f53e6ddfd88d86d7334a2d997e7b2f2908aa73c270535eecaa24eddd5c028,2,1,positive,fiqa,$PLUG bear raid
