id,text,label,prediction,confidence,proba_negative,proba_neutral,proba_positive,dataset_name
phrasebank_sentences_50agree_1176,"Anttila 's online department store - NetAnttila - has an established position as the best-known , most visited and most shopped online store in Finland  .",neutral,positive,0.98681045,0.0011025249,0.012087044,0.98681045,phrasebank
phrasebank_sentences_66agree_3558,"`` This transaction supports Huhtamaki 's strategic review of rigid plastic consumer goods operations '' , says Huhtam+ñki Oyj 's CEO Jukka Moisio .",neutral,positive,0.9866795,0.0009121208,0.0124083385,0.9866795,phrasebank
phrasebank_sentences_50agree_517,"The decision to sell a share in Lenenergo was reached in line with Fortum 's strategic plans to invest mainly in generating assets in Russia , while Lenenergo is a grid company , the press release said .",positive,neutral,0.98659885,0.00045860565,0.98659885,0.012942589,phrasebank
phrasebank_sentences_66agree_66,"Other measures included increasing synergies and economies of scale within the Grimaldi Group and personnel adjustments , divestments and redelivery of excess tonnage .",neutral,positive,0.98631036,0.001041285,0.0126483375,0.98631036,phrasebank
phrasebank_sentences_50agree_1403,"The operator is one of 6 operators to have been granted a WiMAX license in Taiwan , and hopes to be the first to launch commercial services in early 2009 .",neutral,positive,0.9857978,0.0009148725,0.013287326,0.9857978,phrasebank
phrasebank_sentences_50agree_1162,"Aho is proud of the company 's new product , Lordi-Cola .",neutral,positive,0.98536915,0.0011926998,0.0134381065,0.98536915,phrasebank
phrasebank_sentences_75agree_1170,The purpose of this action is to ensure company 's cost effectiveness this year and in the near future .,positive,neutral,0.9852158,0.00057217455,0.9852158,0.0142120635,phrasebank
phrasebank_sentences_50agree_3790,The company decided at the end of 2008 to temporarily shut down its ammonia plant in Billingham and extend the maintenance period at its Ince facility .,negative,neutral,0.98353946,0.013751367,0.98353946,0.002709127,phrasebank
phrasebank_sentences_50agree_2119,"In 2007 , Marimekko has also opened concept stores in Yokohama and Nagoya , central Japan , in Silver Spring in metropolitan Washington DC , USA , in Graz , central Austria , and in Aalborg , northern Denmark .",positive,neutral,0.98307896,0.0007926628,0.98307896,0.016128406,phrasebank
phrasebank_sentences_75agree_1382,"Juha Jordan , chief engineer at Glaston , said one of the reasons for choosing Vacon as a global AC drives supplier is that it has service and support centres in the same countries where Glaston operates .",positive,neutral,0.98273313,0.00072147377,0.98273313,0.016545417,phrasebank
phrasebank_sentences_66agree_3502,He said : `` It is for sale again and we will be actively marketing it .,neutral,positive,0.9814534,0.0013098255,0.017236726,0.9814534,phrasebank
phrasebank_sentences_66agree_1296,"In the next few years , the ICT sector 's share of electricity consumption will be raised by the increase in the popularity of smartphones .",neutral,positive,0.98127985,0.00079121214,0.017928941,0.98127985,phrasebank
phrasebank_sentences_50agree_1875,This bold spinning 360 red fabric design is set beautifully on Ercols Napoli sofa .,positive,neutral,0.981006,0.0010875105,0.981006,0.017906444,phrasebank
phrasebank_sentences_66agree_949,"The Daily Graphic newspaper , in October , reported an initiative being embarked upon by the Fidelity Bank to partner Ghana Post , which has offices across the country , to offer financial services to the unbanked and under-banked in the country .",neutral,positive,0.9803269,0.0012290549,0.018444045,0.9803269,phrasebank
phrasebank_sentences_50agree_1702,Finnish plumbing and heating systems supplier Uponor announced a company-wide cost reduction program in August 2008 .,neutral,positive,0.9800979,0.015354406,0.004547627,0.9800979,phrasebank
phrasebank_sentences_66agree_1097,"Neste Oil extended yesterday 's gains and put on 0.49 pct to 22.72 eur , while utility Fortum shed 1.14 pct to 20.76 eur .",neutral,positive,0.9796809,0.0025152774,0.017803844,0.9796809,phrasebank
phrasebank_sentences_50agree_1754,"Mr. Atul Chopra , Chief Operating Officer & President , Tecnotree elaborated '' I am eager to see the continued success of the former Tecnomen , bringing Lifetree product to MENA , under the Tecnotree umbrella .",neutral,positive,0.9795542,0.0012353029,0.019210497,0.9795542,phrasebank
phrasebank_sentences_66agree_2864,The prices of stainless steel also rose in Europe .,neutral,positive,0.9793728,0.0015044039,0.019122722,0.9793728,phrasebank
phrasebank_sentences_75agree_1611,"In addition , the existing service counter area in the reception hall will be rebuilt and access provided to local rail connections .",neutral,positive,0.9792783,0.0014131203,0.019308519,0.9792783,phrasebank
phrasebank_sentences_66agree_416,`` Residentialconstruction in particular has picked up in several markets .,positive,neutral,0.97915673,0.0009825488,0.97915673,0.019860692,phrasebank
phrasebank_sentences_allagree_593,Shuweihat 2 got under way in July 2008 when the project was awarded to desalination and power contractors .,neutral,positive,0.9783402,0.00096462335,0.020695172,0.9783402,phrasebank
phrasebank_sentences_50agree_392,The Finnish company Stockmann has signed the contract with the company Technopolis .,neutral,positive,0.9762224,0.0010864431,0.022691075,0.9762224,phrasebank
phrasebank_sentences_allagree_502,"It is necessary to strengthen the company 's operations , however .",neutral,positive,0.97525364,0.0010478706,0.023698516,0.97525364,phrasebank
phrasebank_sentences_66agree_3967,Sales were down 14 per cent in Finland and up 27 per cent abroad where sales were lifted by the strong growth in sales in Russia and Lithuania .,neutral,negative,0.97514296,0.97514296,0.016663957,0.008193058,phrasebank
phrasebank_sentences_50agree_1375,The effect of the savings will be noticeable as of the beginning of 2010 .,positive,neutral,0.9740485,0.0006200756,0.9740485,0.02533146,phrasebank
phrasebank_sentences_75agree_1863,Aldata noted that its Voice Supply Chain Technology approach enables VDW to integrate with warehouse management systems .,neutral,positive,0.972648,0.00081708765,0.026534872,0.972648,phrasebank
phrasebank_sentences_66agree_2408,"Beef imports fell slightly from 2006 , to 14mn kilos .",neutral,negative,0.97206885,0.97206885,0.009309069,0.01862209,phrasebank
phrasebank_sentences_66agree_1432,"Via the plant , the Belgian company will feed 8.4 MW of electricity into the distribution grid and will be able to deliver up to 14 MW of heat .",neutral,positive,0.9686582,0.001073822,0.030268013,0.9686582,phrasebank
phrasebank_sentences_allagree_2242,Finnish meat company Atria can no longer promise a sufficient amount of domestic beef to its customers .,negative,neutral,0.9679993,0.02952511,0.9679993,0.0024755965,phrasebank
phrasebank_sentences_75agree_754,"Our solutions are fully Arabized , and our message is that we want to become the IT partner of choice for businesses in the Near-East region .",neutral,positive,0.9672309,0.0007999397,0.03196908,0.9672309,phrasebank
phrasebank_sentences_75agree_1219,"I am looking forward to contribute to SRV 's success with my competence '' , says Taneli Hassinen .",positive,neutral,0.96579826,0.0007445213,0.96579826,0.033457257,phrasebank
phrasebank_sentences_50agree_270,Previously the company has estimated its operating profit to reach the level of 2005 only .,positive,neutral,0.9654278,0.0016738886,0.9654278,0.032898296,phrasebank
phrasebank_sentences_allagree_2018,The situation of coated magazine printing paper will continue to be weak .,negative,neutral,0.9633802,0.032485694,0.9633802,0.0041341274,phrasebank
