id,text,label,source_dataset,text_hash,agreement,agreement_config,split
phrasebank_sentences_allagree_849,The company reports a loss for the period of EUR 0.4 mn compared to a loss of EUR 1.9 mn in the corresponding period in 2005 .,positive,financial_phrasebank,f8eac530ab2d4e9b2a1f139db19b9e831c84e6c0eec15668eac537fb3e44096b,1.0,sentences_allagree,train
phrasebank_sentences_allagree_382,"Earnings per share ( EPS ) amounted to EUR0 .98 , up from the loss of EUR0 .02 .",positive,financial_phrasebank,d49f2c7f3988f65cd7d6cd9ebc3083cf1fe9940388cfdbcb2a2b879488f2a035,1.0,sentences_allagree,train
phrasebank_sentences_75agree_1072,"The Annual General Meeting approved a dividend of EUR 0.10 per share , that is , a total of EUR 7,8 million .",neutral,financial_phrasebank,0130ccaf617bf0675b0e84fe4b86034923fa820ae693130d3543910f1ee952bd,0.75,sentences_75agree,train
phrasebank_sentences_75agree_2572,"ADP News - Jan 13 , 2009 - Finnish industrial and environmental measurement equipment maker Vaisala Oyj OMX : VAIAS said yesterday it will develop an operational reference radiosonde for climate change observations .",neutral,financial_phrasebank,7f94f92abb05af36214d5227f101d54059f555e520834a5ed879581c919b887a,0.75,sentences_75agree,train
phrasebank_sentences_66agree_3785,"zip , '' experts warned Tuesday .",neutral,financial_phrasebank,3fda47077d6573da5032ab9c7f101128c4d8937c3cf0fd3a47fa8dab41b5eb8a,0.66,sentences_66agree,train
phrasebank_sentences_allagree_1197,COMPTEL CORPORATION Sami Ervio President and CEO Distribution : NASDAQ OMX Helsinki Major media Comptel Dynamic OSS solutions enable telecom service providers to deliver services flexibly and charge them effectively .,neutral,financial_phrasebank,8a6f348b5e9b020b87d49fd2b090c428df14cd03f505aa5877469d86a6dc5354,1.0,sentences_allagree,train
phrasebank_sentences_allagree_2217,Talentum 's net sales in September were smaller than expected .,negative,financial_phrasebank,c86d938b499a75f887f7c1aca845ddb431380a978f49f89d21c4860bf50f1b5d,1.0,sentences_allagree,train
phrasebank_sentences_75agree_1081,The company pledged that the new software would render e-mails and other documents much as they appear on desktop computers .,neutral,financial_phrasebank,2fd06bf06f9c4d28538c6079e988bc9d8ab04ce458eb4a511f45f27adfd9bab8,0.75,sentences_75agree,train
phrasebank_sentences_75agree_1295,"In the beginning of this year , Wartsila had secured an order to deliver four gas-fuelled main engines and propulsion machinery for the same vessel .",positive,financial_phrasebank,af2183f4af321e89801150bb9b07a7664f7f9fbe59a06c97bcabb04065b0944c,0.75,sentences_75agree,train
phrasebank_sentences_50agree_2728,26 January 2011 - Finnish software solutions provider Basware ( HEL : BAS1V ) said yesterday it adjusted its strategy and goals for the next four years with focus on international growth mainly via acquisitions .,neutral,financial_phrasebank,c9e3e1da622b0497a0d3218ccb043d6958e84d30251a450c5906168a86aeb026,0.5,sentences_50agree,train
phrasebank_sentences_50agree_894,"The buyer aims to thus reinforce its position in Denmark , Martela Group managing director Heikki Martela said .",positive,financial_phrasebank,c3cc37c795a996111f2ddbcfb759fdac3b3eb71916ac4842ce06ed79d21306b7,0.5,sentences_50agree,train
phrasebank_sentences_66agree_2939,There are no substitutes to AC drives .,neutral,financial_phrasebank,65679972c9557c181e67b801972e23452a0819c0db037330704b6098ea60ee0b,0.66,sentences_66agree,train
phrasebank_sentences_allagree_145,"( ADP News ) - Feb 11 , 2009 - Finnish management software solutions provider Ixonos Oyj ( HEL : XNS1V ) said today its net profit rose to EUR 3.5 million ( USD 4.5 m ) for 2008 from EUR 3.1 million for 2007 .",positive,financial_phrasebank,9b4b683c88ae81aa5ab363f769697bfc3649e234a134379c257f2c82596bf49e,1.0,sentences_allagree,train
phrasebank_sentences_75agree_3099,A high court in Finland has fined seven local asphalt companies more than   lion ( $ 117 million ) for operating a cartel .,negative,financial_phrasebank,9b2cde98ae88403c47e3b908dc6cad381b7d3651dd7796ffb97cc2018aaa8ee3,0.75,sentences_75agree,train
phrasebank_sentences_50agree_1459,"With the Basware Connectivity services , companies gain visibility to an audit trail that can be traced from order to goods delivery and invoice .",neutral,financial_phrasebank,70f193e81a3ec1b0314c11c8b872b63cff0880a75b4f861fcc7caf974f82b3d0,0.5,sentences_50agree,train
phrasebank_sentences_66agree_1035,"Crucially , the decision to use ETSI ( European Telecommunication Standard Institute ) - backed DVB-H adds to the growing list of operators and equipment manufacturers opting for the standard ( see Global : 20 January 2006 : Competing Technologies Vie for Mobile TV ) .",neutral,financial_phrasebank,0329e072a6c22b7480afbe9c907f00d2dedb43357623ca797134bee1ece2b05b,0.66,sentences_66agree,train
phrasebank_sentences_allagree_582,Pertti Ervi is independent from the Company and its major shareholders .,neutral,financial_phrasebank,9146c69b25e36a17ea8422399a39088be4c1f42b81687b92c5a75bedddc951ce,1.0,sentences_allagree,train
phrasebank_sentences_66agree_3694,"The employer-employee talks concerned about 500 people , that is , the whole staff in Finland .",neutral,financial_phrasebank,39f6b0dd3730b8d6a958824657e542f57c31618e2af5c07ee7b622d9d2b0f0c1,0.66,sentences_66agree,train
phrasebank_sentences_66agree_897,"An additional amount , capped at EUR12m , is payable in cash upon the achievement of certain financial performance targets in 2007 .",neutral,financial_phrasebank,12c8a9413ec68befd8686906bc6626e3f7d43522dd9bf42548331ad0582c15ef,0.66,sentences_66agree,train
phrasebank_sentences_allagree_1422,The CVs of the proposed members are available for viewing from 12 March 2008 onwards on the Internet at www.sampo.com/ir .,neutral,financial_phrasebank,835595d7cfb4d4b849d092baa9b34e815ac60a4c5811ddde5fa2f3301b4713b6,1.0,sentences_allagree,train
phrasebank_sentences_75agree_2893,"In 2009 , Stora Enso 's net loss was EUR 879.7 million compared to EUR 673.4 million in the previous year .",negative,financial_phrasebank,63ee695a7fdeb2c80809567f7ec5d68005ccb755d85d5e633d226e36fbe88ae6,0.75,sentences_75agree,train
phrasebank_sentences_allagree_1481,"The platen edges in contact with the band are provided with a seal having a protrusion directed towards the middle area of the platen , and means are provided to exert and maintain a pressure in the volume defined by the platen , the band and the seal . ''",neutral,financial_phrasebank,ebca287dd5adb0718bfbee0707912d655c981d83279445103e6e139b16b6fab5,1.0,sentences_allagree,train
phrasebank_sentences_75agree_3253,"Finnish construction company YIT is reducing the number of start-ups of market-financed residential units in 2007 to about 2,300 from the previously announced 2,700 .",negative,financial_phrasebank,9e06094c1774a9031d33b3391017d64db84ed9107f495a6d13ace9bbb628a5dd,0.75,sentences_75agree,train
phrasebank_sentences_75agree_1844,"The Finnish investment company Sponda is conducting negotiations to acquire the business center Dukat Palace-2 located in the center of Moscow , from London & Regional Properties .",neutral,financial_phrasebank,a0ed308f5bc9b1653c8171593b2220b835c859d6634c7c981158fb6ab67e5d4e,0.75,sentences_75agree,train
phrasebank_sentences_50agree_951,Finnish mobile operator DNA will function as a subcontractor to Maingate and will be responsible for telecommunications connections .,positive,financial_phrasebank,dddcb4f9fc217e54a0084b144b942bae01e6b68c9b6f4dafc6b73cf4d09470b3,0.5,sentences_50agree,train
phrasebank_sentences_66agree_3876,"The Nokian tyre proves its high safety excellently in the important driving qualities stability with mark 1.4 , handling 1.5 and braking on wet road with 1.9 .",positive,financial_phrasebank,5ecd5abd2a86e9b407c108f208ecf45c5ade91713613321c498ff27cb810af39,0.66,sentences_66agree,train
phrasebank_sentences_allagree_825,Incap Contract Manufacturing Services Private Limited has inked agreements with six new customers in India .,positive,financial_phrasebank,fd85e5a19a5378120fdfdd608ad1a06a85fc90625c84c26e4a654c50479daf68,1.0,sentences_allagree,train
phrasebank_sentences_66agree_2243,The majority of the company 's personnel in Finland is temporarily laid off from one to six weeks in the period from February to June 2009 period .,negative,financial_phrasebank,c5c7ade1627200230fd1c279dbd2cb3bbafcc0562d66cd9d9ddf09aedde80268,0.66,sentences_66agree,train
phrasebank_sentences_75agree_2990,"( ADPnews ) - Dec 30 , 2009 - Finnish investment group Neomarkka Oyj ( HEL : NEMBV ) said today that it will furlough employee in its unit Reka Cables Ltd for less than 90 days , starting in January 2010 .",neutral,financial_phrasebank,828f71430cf8f75be45d3414bfa35f621c0a20939312620a38b033264b3a9038,0.75,sentences_75agree,train
phrasebank_sentences_66agree_3934,"As a result , the Russia 's import restrictions on Finnish dairy companies will be canceled on 6 August 2010 .",positive,financial_phrasebank,2fddd58c48acf6ca49feff9841bf04b72674c988a6c4c7740de5f7d00d27585d,0.66,sentences_66agree,train
phrasebank_sentences_allagree_533,"According to Finnair Technical Services , the measure is above all due to the employment situation .",neutral,financial_phrasebank,07f2ff58208f3d3200e15dfb1bdb424eb358b2da8c59de191aad3c96713e2e22,1.0,sentences_allagree,train
phrasebank_sentences_75agree_2467,Around 250 of these reductions will be implemented through pension arrangements .,neutral,financial_phrasebank,87de2a1af9ce929fb207671819ff6d7f1592146df75541a6468155674c971474,0.75,sentences_75agree,train
phrasebank_sentences_66agree_1829,"SOUTHFIELD , Mich. -- Central Corporate Credit Union will again distribute patronage dividends to members by waiving all service fees incurred during the months of July and November 2008 , to the tune of an estimated $ 1 million .",positive,financial_phrasebank,c47fa6c3aee0cf27c034b39091d8a9bc6c385ab5e81a6f59fae76398b5bdd4e5,0.66,sentences_66agree,train
phrasebank_sentences_allagree_59,"International sales rose by 59.8 % to EUR 1,244.4 mn .",positive,financial_phrasebank,ec0c1a56cbf9a1493e4c87c2c434eb1ebd68f619eeb7ff5992700b72fe34c141,1.0,sentences_allagree,train
phrasebank_sentences_allagree_827,It also turned in earnings per share ( EPS ) of EUR 0.44 versus loss per share of EUR 2.26 .,positive,financial_phrasebank,b853ae70cd454753323e873f3050f917a2f0188d863958bc82459275a752338f,1.0,sentences_allagree,train
phrasebank_sentences_50agree_2796,"Also Ruukki Construction , Rautaruukki 's construction division , is initiating employer-employee negotiations at its sites in Alaj+ñrvi , Vimpeli and Per+ñsein+ñjoki in Finland .",neutral,financial_phrasebank,637d45aab707cfa1465cfca9fff7b6a2df4fb1bb61686c78c81a90e4ef7d6a98,0.5,sentences_50agree,train
phrasebank_sentences_75agree_2580,"Moreover , Konecranes and Kito intend to transfer the hoist distribution business of Konecranes ' Japanese joint venture MHS Konecranes to Kito .",neutral,financial_phrasebank,3965fa2de9ea34365a3a1e440c043bf20e767fa4b6e007f4179d8473759de435,0.75,sentences_75agree,train
phrasebank_sentences_allagree_511,The Bank is also examining the benefits of transferring the Swedish business to operate as a branch office so that the operations would be governed by Finland 's laws .,neutral,financial_phrasebank,9abefc2ded91a36eaae52e731ed0641ae701622ebd6f0d234241c2a6436cff0a,1.0,sentences_allagree,train
phrasebank_sentences_66agree_4157,"The antibody , administered at repeated doses of up to 8 mg-kg , was generally well tolerated , and the pharmacokinetic characteristics of BTT-1023 in psoriasis patients were consistent with those observed in a previously completed study in rheumatoid arthritis RA patients .",neutral,financial_phrasebank,d745dff4e1b7c465a3c9ccd974308aafe114e1d54c34892ce1545bab433bfb60,0.66,sentences_66agree,train
phrasebank_sentences_75agree_1226,The tower 's engineers have created an 18 degree westward lean - four times the inclination on the Leaning Tower of Pisa - using diagrid structures that are aligned geometrically using Tekla Structures BIM ( Building Information Modeling ) software .,neutral,financial_phrasebank,d69aaf74ffc59b9c6c77b692c292846c1536379a54779d35fbae4d21675339e3,0.75,sentences_75agree,train
phrasebank_sentences_66agree_642,RISING costs have forced packaging producer Huhtamaki to axe 90 jobs at its Hampshire manufacturing plant .,negative,financial_phrasebank,23c85bb3420080a7cf7ebe2debff8b1a85ccd101dba6182fcf594568d1585dc8,0.66,sentences_66agree,train
phrasebank_sentences_75agree_2113,"Risto Jalo , chief executive of Dormus Print and also owner of the remainder of the company , will keep his position after the acquisition .",neutral,financial_phrasebank,19b611ac69bbdffa25fa570f0b863410eb8c047a8d61126e50309252aef0d183,0.75,sentences_75agree,train
phrasebank_sentences_allagree_2094,"The group 's operating loss was EUR 0.8 mn , down from a profit of EUR 2.5 mn in 2004 .",negative,financial_phrasebank,b7ee9066aeb57a533fa9f5a7d3cd479bc39d0f173c0f1018a69fbebbc267c274,1.0,sentences_allagree,train
phrasebank_sentences_allagree_3,Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,positive,financial_phrasebank,0ccc309cf0936834dea8c3896ff227574190984496be266852371dc430786386,1.0,sentences_allagree,train
phrasebank_sentences_66agree_1987,"In Finland , metal sector company Componenta is laying off temporarily the staff of its Pori mill from Christmas 2008 till 6 January 2009 .",negative,financial_phrasebank,c118424729796eba24ecd2734bad92f7a52ea44d54750d032d787defc5c69957,0.66,sentences_66agree,train
phrasebank_sentences_allagree_822,in Q1 2010 18 May 2010 - Finnish electrical components maker Salcomp Oy ( HEL : SAL1V ) said today it turned to a net profit of EUR1 .6 m in the first quarter of 2010 versus a loss of EUR2m in the corresponding period last year .,positive,financial_phrasebank,653991c289cbac9ed319a698cd4f8cecb48106b98adb01672769a4d12e416d22,1.0,sentences_allagree,train
phrasebank_sentences_allagree_836,Net sales in 2007 are expected to be 10 % up on 2006 .,positive,financial_phrasebank,05314a685496c4f18a2062c68de377978c2381ff69e6eca3849fdb2d9531ba45,1.0,sentences_allagree,train
phrasebank_sentences_allagree_853,These measures are expected to produce annual cost savings of EUR 1.5 million starting in 2007 .,positive,financial_phrasebank,31131c3c0be380d4d4b310fe3528b3be2b6933efc194f7c99813037f524f9574,1.0,sentences_allagree,train
phrasebank_sentences_50agree_1213,"Elisa Corporation , headquartered in Helsinki , is a Finnish telecomms company offering private and corporate customers a comprehensive range of telecomms services .",neutral,financial_phrasebank,e970ff2ca3acf0cab7421f951e442d3c8e540aba4913af88a4a13b6e5a8b0674,0.5,sentences_50agree,train
phrasebank_sentences_allagree_83,Finnish KCI Konecranes has raised its net sales growth estimate for 2006 from over 25 % to over 35 % .,positive,financial_phrasebank,0d6a64a937647e52e7bac4f701eaf927ba545acb10767269f4114c30c938c86d,1.0,sentences_allagree,train
phrasebank_sentences_allagree_168,Operating profit rose to EUR 9.2 mn from EUR 6.8 mn in the corresponding period in 2007 .,positive,financial_phrasebank,65362b2ce8c0b95bbf7afe848a4afb9ee3932ed35f819070ca2e91a8edee652e,1.0,sentences_allagree,train
phrasebank_sentences_75agree_515,"Exports make up more than 80 per cent of our sales , so the name Glaston also reflects a truly internationally operating company , '' explains Kyro 's President & CEO Mika Seitovirta .",neutral,financial_phrasebank,928a714d76b31ee912929ee51ce1e3ea7d12cf24ec7008ff7e65f9731afc4612,0.75,sentences_75agree,train
phrasebank_sentences_allagree_1067,The customers will have an access to integrated propeller and gear packages from one source .,neutral,financial_phrasebank,1f870f7121c79f067e586bde7c53ba29bda88fd50c7edbb2d79500060bbdeb56,1.0,sentences_allagree,train
phrasebank_sentences_66agree_2980,"Virala Oy Ab was allocated by the Board of Directors an amount of EUR 1,9 million which is EUR 0,25 million lower than maximum announced on 12/30/2010 .",neutral,financial_phrasebank,1cfcaa60c70d41f3ddd766a5c80a6e0b6d01d35f95b1687ad095bbffb8de58bc,0.66,sentences_66agree,train
phrasebank_sentences_66agree_3998,The airline 's share price closed down slightly at (  x20ac ) 12.51 ( $ 15US .74 ) in Helsinki .,negative,financial_phrasebank,0f647df46f1e8b4e615b6d2a11061498c122a701831ac23a04df7cd103b15399,0.66,sentences_66agree,train
phrasebank_sentences_50agree_3988,"In the Asia-Pacific region , Visa Wave is available in Malaysia , Taiwan and South Korea and will be expanded to Japan and Southeast Asia this year , Jung added .",positive,financial_phrasebank,2bcdf8eb37f9029df6a464b2b21b15727a86ea41d66c446e44028d657d30aa8d,0.5,sentences_50agree,train
phrasebank_sentences_allagree_72,"The company 's consolidated operating profit amounted to EUR 15.86 mn , up from EUR 4.14 mn year-on-year .",positive,financial_phrasebank,c9e1e102635fd5ede49fa35e602ee3ba7267b274f4460616b21c9290c1b53147,1.0,sentences_allagree,train
phrasebank_sentences_allagree_172,"Operating profit totaled EUR 5.5 mn , up from EUR -0.7 mn .",positive,financial_phrasebank,9e699e285da6bd9db9f5971cc1509a9990730ea834c209e5edcabe0b5365803d,1.0,sentences_allagree,train
phrasebank_sentences_50agree_4015,Earnings per share were at loss of EUR0 .24 .,negative,financial_phrasebank,21e609f899d3a55ca46b9c0e4fccf17c4a0c9373eb158bcb1571fe07c0dcf23d,0.5,sentences_50agree,train
phrasebank_sentences_allagree_1048,"The company offers payroll services , including payroll processing , payroll tax administration , and employee pay services , including direct deposit , check signing , and Readychex .",neutral,financial_phrasebank,eb22a9aebb4ac2357e6336684a581c537c6cb01f852f1d90fbd7c3def4bdbec9,1.0,sentences_allagree,train
phrasebank_sentences_allagree_1739,The company did not distribute a dividend in 2005 .,neutral,financial_phrasebank,94de30c0a5626e54d014436aa7a11fa2661601967eec2fe351f8a0e0e9faf3ed,1.0,sentences_allagree,train
phrasebank_sentences_50agree_4844,"Net sales of the Paper segment decreased to EUR 221.6 mn in the second quarter of 2009 from EUR 241.1 mn in the second quarter of 2008 , while operating profit excluding non-recurring items rose to EUR 8.0 mn from EUR 7.6 mn .",negative,financial_phrasebank,7a32db275d37ef4f7c003afd854df73694b9d600df21552980468bed3da4d03f,0.5,sentences_50agree,train
phrasebank_sentences_66agree_467,We have made long-term investments in developing the system 's implementation model .,neutral,financial_phrasebank,265e7f55380c09590704966bef9dcb7ea5b3cceadbe99d1051aae433aa5f59fc,0.66,sentences_66agree,train
phrasebank_sentences_75agree_31,"Aspo Plc STOCK EXCHANGE RELEASE February 11 , 2011 at8 .45 a.m. ESL Shipping Ltd , part of Aspo Group , has signed a new , long-term contract with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea .",positive,financial_phrasebank,682d34e1984dedca0af94d9b7d9f174751cf72d22ceb6dd3400ccf7948077252,0.75,sentences_75agree,train
phrasebank_sentences_allagree_475,"The financial impact is estimated to be an annual improvement of EUR2 .0 m in the division 's results , as of fiscal year 2008 .",positive,financial_phrasebank,ff5836dd3ff74297e43629a72d1e8d1d495f4e8b90ac1ef440d2615ac0cf027e,1.0,sentences_allagree,train
phrasebank_sentences_75agree_1315,"The company will pay a dividend of EUR 0.50 per share , a total of EUR 14mn .",neutral,financial_phrasebank,bc29cee6b77eb0b1a4ad264693a7b69035f8f886c21fa43e46039646ffff974b,0.75,sentences_75agree,train
phrasebank_sentences_50agree_2010,"Elcoteq 's stock of orders has stabilised in the past weeks , Mr Krippl said .",positive,financial_phrasebank,6e8f080f5f112f76c7a7292b941c64a1da48bb889ff6e25cd261dd1d6c6f83ca,0.5,sentences_50agree,train
phrasebank_sentences_66agree_507,"Finnish Ahlstrom Corporation will double its investments in a new specialty glassfiber reinforcement plant in South Carolina , in the US .",positive,financial_phrasebank,a1819469c3cad8b2f9a6ba8e25edce956403656a1c7eaba5f430bd92268fda10,0.66,sentences_66agree,train
phrasebank_sentences_75agree_3135,The Finnish company previously said its operating result will be lower than the break-even posted a year earlier .,negative,financial_phrasebank,4b398e01b70b1d08b5ebb8e8939a4fb2a687c0f78b6575dc2869c9c46764e90b,0.75,sentences_75agree,train
phrasebank_sentences_75agree_1679,Sponda Plc 's Annual General Meeting decided on 23 March 2005 to establish a Shareholders ' Nomination Committee to prepare proposals for the Annual General Meeting in 2006 on the composition of the Board of Directors and their remuneration .,neutral,financial_phrasebank,0762c8122db80fb6dafc7a00483d22477b1d14321d73634b3b03371734dcdaec,0.75,sentences_75agree,train
phrasebank_sentences_50agree_445,"Takoma will carry out the transaction by acquiring the entire share capital of Moventas Parkano Oy , which runs the factory in Parkano , southern Finland .",neutral,financial_phrasebank,045c4bcd3bf43cb1cb3378720bafbd2dea8016fcaee0e43cb1d3feccf9a6d47f,0.5,sentences_50agree,train
phrasebank_sentences_75agree_1741,"The Finnish business delegation includes representatives from over 20 companies that include Nokia Corp , Finnfund , Outokumpu Oyj , OKO Bank , Alteams Oy and Cargotec Corp. .",neutral,financial_phrasebank,00d65d1cd2c62aec30b022eecc23679b692b6cd6fad3b37775f931ccfe254593,0.75,sentences_75agree,train
phrasebank_sentences_66agree_1629,"So far , Mr. Galvan he has been able to avoid laying off workers .",positive,financial_phrasebank,f360b2b4759d0460f35d9dc797f372102d858cd67512f3f580ce1523c4b85c8e,0.66,sentences_66agree,train
phrasebank_sentences_50agree_1475,`` Small well targeted acquisitions have played an important role in executing Satama 's strategy in the past couple of years .,neutral,financial_phrasebank,45b4f665ea84db9186ad8530132f17e4be95893e00d6097a6ad9f23bafa055a6,0.5,sentences_50agree,train
phrasebank_sentences_allagree_783,"Investors will continue being interested in the company 's share although it is not quite cheap , Affarsvarlden said .",positive,financial_phrasebank,d42da8fd396fb79b28e2814e00a84a31ca54d17c92755ea6868eca1a7d823b15,1.0,sentences_allagree,train
phrasebank_sentences_allagree_1215,Eriikka S+Âderstr+Âm has previously held several positions in finance and control at Nokia Networks including acting as the Business Group Controller and having the corporate controller position at Nokia Siemens Networks .,neutral,financial_phrasebank,231ceec71f1db116ec7220bff1be935673925374dc204e83c78296c8888d979d,1.0,sentences_allagree,train
phrasebank_sentences_50agree_4481,"I use natural fibers to make the clothes more comfortable , to allow your skin to breathe and to be eco-friendly .",positive,financial_phrasebank,0f3f050ce1aff71993395d19252c51a0730921ac26ee65ec27f11c898e5d4841,0.5,sentences_50agree,train
phrasebank_sentences_50agree_4069,Performance in 2006 was impacted by the consolidation trend in the telecom sector and the overall and structural changes in the contract manufacturing market in telecommunications technology and industrial electronics .,negative,financial_phrasebank,f4d27d4eab4c377e4a85eb516a713ecb12b0aaa8764a474848118af29faababe,0.5,sentences_50agree,train
phrasebank_sentences_50agree_1047,It also recovers valuable raw material for Kemira 's water chemical production .,neutral,financial_phrasebank,7581aaccbe9ebcf8764eb8d2b4ca65cb1b45d32962b86b65b0e473e5c2106bbb,0.5,sentences_50agree,train
phrasebank_sentences_75agree_1108,The second-quarter net sales are expected to be on par with the first quarter of 2009 .,neutral,financial_phrasebank,07e27ff5d8f1de3e29c96682c0272cbf9266f3faf633903475797400d5217ec8,0.75,sentences_75agree,train
phrasebank_sentences_50agree_4262,The machines will cease production by the end of February 2007 .,neutral,financial_phrasebank,5a2971f69f7e00fa9f3bfc74fda179ae7feeaa01bf468acda976574644d12d26,0.5,sentences_50agree,train
phrasebank_sentences_allagree_1259,"In total , more than 3000 surveillance cameras will be handled and managed according to a variety of needs , the company said .",neutral,financial_phrasebank,3c7ad15c9802a74fcdae62b2865b8779e81cf33177da503764f4164324794fda,1.0,sentences_allagree,train
phrasebank_sentences_75agree_3235,"Operating loss totalled EUR 0.3 mn , down from a profit of EUR 5.1 mn in the first half of 2009 .",negative,financial_phrasebank,e93203acfe9558adf20534e790cd50416b7ddcaf4d9b6b47f524a69130ad5482,0.75,sentences_75agree,train
phrasebank_sentences_66agree_3481,- The Group -¦ s result before taxes was a loss of EUR 0.6 ( +0.6 ) million .,neutral,financial_phrasebank,25e2a06cadc70a5cdc0b15b959afc9df87388da4c8058ba83941b1c84acb2a99,0.66,sentences_66agree,train
phrasebank_sentences_allagree_1339,"Protalix closed at $ 10.71 on Friday on the American Stock Exchange , giving a market cap of $ 827 million .",neutral,financial_phrasebank,ed2ac4eeac315747dd3e9323df67fb53e471a4a3768e421e3e0d84ce6ebc5a01,1.0,sentences_allagree,train
phrasebank_sentences_allagree_34,"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .",positive,financial_phrasebank,b0a5e7b43503ee2c45634b98096a44f12b68b636b5a668ea539e67d068f80d78,1.0,sentences_allagree,train
